name_hotel,url_hotel,adress_hotel,price_hotel,position_by_city_hotel,city_hotel,country_hotel,localisation_hotel,global_rate_hotel,category_hotel,style_hotel,equipments_hotel
Hotel Barcelona Catedral,https://www.tripadvisor.fr/Hotel_Review-g187497-d610494-Reviews-Hotel_Barcelona_Catedral-Barcelona_Catalonia.html,"Capellans, 4, 08002 Barcelone Espagne",191,78 sur 530,Barcelone  ,Espagne  ,Europe||Espagne||Catalogne||Province de Barcelone||Barcelone,4.5,4.0,Familial||Au centre-ville,Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Salles de conférence||Terrasse sur le toit||Wi-Fi||Piscine sur le toit||Piscine extérieure||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Café soluble offert||Thé offert||Salles de réunion||Stockage des bagages||Concierge||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Chambre hypoallergénique||Rideaux occultants||Bureau||Service de ménage||Chambres communicantes disponibles||Service en chambre||Télévision à écran plat||Sèche-cheveux||Coffre-fort||Téléphone||Salles de bain privatives||Chambres non-fumeurs||Suites||Chambres familiales||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Centre d'affaires avec accès Internet||Salles de conférence||Terrasse sur le toit||Wi-Fi||Piscine sur le toit||Piscine extérieure||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Café soluble offert||Thé offert||Salles de réunion||Stockage des bagages||Concierge||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Chambre hypoallergénique||Rideaux occultants||Bureau||Service de ménage||Chambres communicantes disponibles||Service en chambre||Télévision à écran plat||Sèche-cheveux||Coffre-fort||Téléphone||Salles de bain privatives||Chambres non-fumeurs||Suites||Chambres familiales
Yoann Conte Relais & Châteaux,https://www.tripadvisor.fr/Hotel_Review-g616134-d643209-Reviews-Yoann_Conte_Relais_Chateaux-Veyrier_Du_Lac_Haute_Savoie_Auvergne_Rhone_Alpes.html,"13 Vieille Route des Pensières, 74290 Veyrier-du-Lac France",553,1 sur 3,Veyrier-du-Lac  ,France  ,Europe||France||Auvergne-Rhône-Alpes||Haute-Savoie||Veyrier-du-Lac,5.0,5.0,Superbe vue,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Jacuzzi||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Salle de réception||Spa||Concierge||Station de recharge pour véhicules électriques||Parking||Wi-Fi||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Vin/champagne||Hôtel non-fumeurs||Nettoyage à sec||Service de blanchisserie||Climatisation||Plage privée||Balcon privé||Service en chambre||Coffre-fort||Minibar||Réfrigérateur||Télévision à écran plat||Chambres non-fumeurs||Suites||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Jacuzzi||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Salle de réception||Spa||Concierge||Station de recharge pour véhicules électriques||Parking||Wi-Fi||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Vin/champagne||Hôtel non-fumeurs||Nettoyage à sec||Service de blanchisserie||Climatisation||Plage privée||Balcon privé||Service en chambre||Coffre-fort||Minibar||Réfrigérateur||Télévision à écran plat||Chambres non-fumeurs||Suites
Chateau Du Palanquey,https://www.tripadvisor.fr/Hotel_Review-g1939275-d13814020-Reviews-Chateau_Du_Palanquey-Sainte_Colombe_Gironde_Nouvelle_Aquitaine.html,"2 Lieu dit palanquey, 33350 Sainte-Colombe France",297,,Sainte-Colombe  ,France  ,Europe||France||Nouvelle-Aquitaine||Gironde||Sainte-Colombe,5.0,,,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Restaurant||Location de vélos||Terrain de golf||Activités pour les enfants (Enfants/Pour les familles)||Internet||Jacuzzi||Piscine intérieure||Piscine extérieure||Navette aéroport||Centre d'affaires avec accès Internet||Spa||Stockage des bagages||Concierge||Climatisation||Cheminée||Service de ménage||Chambres non-fumeurs||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Restaurant||Location de vélos||Terrain de golf||Activités pour les enfants (Enfants/Pour les familles)||Internet||Jacuzzi||Piscine intérieure||Piscine extérieure||Navette aéroport||Centre d'affaires avec accès Internet||Spa||Stockage des bagages||Concierge||Climatisation||Cheminée||Service de ménage||Chambres non-fumeurs||Chambres familiales
Villa Tri Men,https://www.tripadvisor.fr/Hotel_Review-g670681-d488381-Reviews-Villa_Tri_Men-Combrit_Finistere_Brittany.html,"16 rue du Phare, 29120, Combrit France",162,1 sur 3,Combrit  ,France  ,Europe||France||Bretagne||Finistère||Combrit,4.5,4.0,Superbe vue,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Bar/lounge||Restaurant||Chaises hautes disponibles||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Hôtel non-fumeurs||Petit-déjeuner disponible||Buffet de petit-déjeuner||Buffet adapté aux enfants||Menus pour les enfants||Vin/champagne||Chambres insonorisées||Peignoirs||Bureau||Service de ménage||Chambres communicantes disponibles||Coffre-fort||Télévision à écran plat||Baignoire/douche||Téléphone||Penderie/armoire||Eau en bouteille||Coffre pour ordinateur portable||Salles de bain privatives||Service de réveil/réveil-matin||Produits de toilette gratuits||Sèche-cheveux||Vue sur l'océan||Chambres non-fumeurs||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Wi-Fi||Bar/lounge||Restaurant||Chaises hautes disponibles||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Hôtel non-fumeurs||Petit-déjeuner disponible||Buffet de petit-déjeuner||Buffet adapté aux enfants||Menus pour les enfants||Vin/champagne||Chambres insonorisées||Peignoirs||Bureau||Service de ménage||Chambres communicantes disponibles||Coffre-fort||Télévision à écran plat||Baignoire/douche||Téléphone||Penderie/armoire||Eau en bouteille||Coffre pour ordinateur portable||Salles de bain privatives||Service de réveil/réveil-matin||Produits de toilette gratuits||Sèche-cheveux||Vue sur l'océan||Chambres non-fumeurs||Chambres familiales
Sunset Marquis,https://www.tripadvisor.fr/Hotel_Review-g33252-d82602-Reviews-Sunset_Marquis-West_Hollywood_California.html,"1200 Alta Loma Rd, Hollywood Ouest, CA 90069-2404",328,5 sur 22,Hollywood Ouest  ,Californie  ,États-Unis||Californie||Hollywood Ouest,4.5,4.0,Branché||Hôtel historique,Service de voiturier||Wi-Fi||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Location de voitures||Centre d'affaires avec accès Internet||Parking privé payant sur site||Wi-Fi payant||Piscine extérieure||Piscine chauffée||Sauna||Restaurant||Petit-déjeuner dans la chambre||Bar côté piscine||Service de taxi||Salle de réception||Salles de réunion||Spa||Massage||Stockage des bagages||Concierge||Supérette||Boutique de cadeaux||Journal||Hôtel non-fumeurs||Boutiques||Réception 24 heures sur 24||Arrivée/départ privé||Nettoyage à sec||Service de blanchisserie||Climatisation||Cheminée||Service de ménage||Service en chambre||Minibar||Réfrigérateur||Télévision à écran plat||Films à la demande||Coffre-fort||Équipements de chambre VIP||Suite nuptiale||Chambres non-fumeurs||Suites||Service de voiturier||Wi-Fi||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Location de voitures||Centre d'affaires avec accès Internet||Parking privé payant sur site||Wi-Fi payant||Piscine extérieure||Piscine chauffée||Sauna||Restaurant||Petit-déjeuner dans la chambre||Bar côté piscine||Service de taxi||Salle de réception||Salles de réunion||Spa||Massage||Stockage des bagages||Concierge||Supérette||Boutique de cadeaux||Journal||Hôtel non-fumeurs||Boutiques||Réception 24 heures sur 24||Arrivée/départ privé||Nettoyage à sec||Service de blanchisserie||Climatisation||Cheminée||Service de ménage||Service en chambre||Minibar||Réfrigérateur||Télévision à écran plat||Films à la demande||Coffre-fort||Équipements de chambre VIP||Suite nuptiale||Chambres non-fumeurs||Suites
Manava Suite Resort Tahiti,https://www.tripadvisor.fr/Hotel_Review-g297572-d1401773-Reviews-Manava_Suite_Resort_Tahiti-Punaauia_Tahiti_Society_Islands.html,"PK 10 5 Cote Mer BP 2851, Punaauia 98703 Polynésie française",240,1 sur 3,Punaauia  ,Polynésie française  ,Pacifique sud||Polynésie française||Archipel de la Société||Tahiti||Punaauia,4.0,4.0,Vue sur la baie||Superbe vue,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Service de taxi||Salles de conférence||Salle de réception||Parking||Wi-Fi||Serviettes de plage/piscine||Piscine à débordement||Piscine extérieure||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Piscine avec bar intégré||Bar côté piscine||Salles de réunion||Soins du visage||Massage||Stockage des bagages||Concierge||Hôtel non-fumeurs||Chaises longues/chaises de plage||Parasols||Nettoyage à sec||Service de blanchisserie||Service de repassage||Climatisation||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Kitchenette||Minibar||Télévision à écran plat||Réfrigérateur||Vue sur l'océan||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Service de taxi||Salles de conférence||Salle de réception||Parking||Wi-Fi||Serviettes de plage/piscine||Piscine à débordement||Piscine extérieure||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Piscine avec bar intégré||Bar côté piscine||Salles de réunion||Soins du visage||Massage||Stockage des bagages||Concierge||Hôtel non-fumeurs||Chaises longues/chaises de plage||Parasols||Nettoyage à sec||Service de blanchisserie||Service de repassage||Climatisation||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Kitchenette||Minibar||Télévision à écran plat||Réfrigérateur||Vue sur l'océan||Chambres non-fumeurs||Suites||Chambres familiales
The St. Regis Bora Bora Resort,https://www.tripadvisor.fr/Hotel_Review-g311415-d597947-Reviews-The_St_Regis_Bora_Bora_Resort-Bora_Bora_Society_Islands.html,"Motu Ome'e BP 506, 98730 Polynésie française",1 584,1 sur 17,Bora-Bora  ,Polynésie française  ,Pacifique sud||Polynésie française||Archipel de la Société||Bora-Bora,4.5,5.0,Vue sur le lagon||Vue sur la marina,Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Plage||Vélos disponibles||Babysitting||Aire de jeux intérieure pour les enfants||Wi-Fi||Piscine extérieure||Piscine privée||Vestiaires du spa/centre de remise en forme||Bar/lounge||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Café soluble offert||Thé offert||Piscine avec bar intégré||Bar côté piscine||Canoë||Plongée||Plongée avec masque et tuba||Court de tennis||Billard||Personnel en charge du divertissement||Activités pour les enfants (Enfants/Pour les familles)||Clubs pour enfants||Piscine pour enfants||Navette aéroport||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Manucure||Massage||Pédicure||Salon||Stockage des bagages||Concierge||Supérette||Change des devises||Boutique de cadeaux||Hôtel non-fumeurs||Boutiques||Chaises longues/chaises de plage||Parasols||Distributeur de billets sur site||Service de majordome||Réception 24 heures sur 24||Service de repassage||Rideaux occultants||Peignoirs||Climatisation||Plage privée||Bureau||Cafetière/théière||Télévision à écran plat||Bain à remous||Salle-à-manger||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Coin salon||Salle à manger séparée||Salon séparé||Canapé||Téléphone||Eau en bouteille||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Service de réveil/réveil-matin||Minibar||Films à la demande||Radio||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur l'océan||Vue sur la piscine||Chambres non-fumeurs||Suites||Chambres familiales||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Plage||Vélos disponibles||Babysitting||Aire de jeux intérieure pour les enfants||Wi-Fi||Piscine extérieure||Piscine privée||Vestiaires du spa/centre de remise en forme||Bar/lounge||Restaurant||Petit-déjeuner disponible||Petit-déjeuner dans la chambre||Café soluble offert||Thé offert||Piscine avec bar intégré||Bar côté piscine||Canoë||Plongée||Plongée avec masque et tuba||Court de tennis||Billard||Personnel en charge du divertissement||Activités pour les enfants (Enfants/Pour les familles)||Clubs pour enfants||Piscine pour enfants||Navette aéroport||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Manucure||Massage||Pédicure||Salon||Stockage des bagages||Concierge||Supérette||Change des devises||Boutique de cadeaux||Hôtel non-fumeurs||Boutiques||Chaises longues/chaises de plage||Parasols||Distributeur de billets sur site||Service de majordome||Réception 24 heures sur 24||Service de repassage||Rideaux occultants||Peignoirs||Climatisation||Plage privée||Bureau||Cafetière/théière||Télévision à écran plat||Bain à remous||Salle-à-manger||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Coin salon||Salle à manger séparée||Salon séparé||Canapé||Téléphone||Eau en bouteille||Fer à repasser||Coffre pour ordinateur portable||Salles de bain privatives||Service de réveil/réveil-matin||Minibar||Films à la demande||Radio||Baignoire/douche||Produits de toilette gratuits||Sèche-cheveux||Vue sur la montagne||Vue sur l'océan||Vue sur la piscine||Chambres non-fumeurs||Suites||Chambres familiales
Hotel Kia Ora Resort & Spa,https://www.tripadvisor.fr/Hotel_Review-g1154800-d324971-Reviews-Hotel_Kia_Ora_Resort_Spa-Avatoru_Rangiroa_Tuamotu_Archipelago.html,"B.p. 198 Rangiroa, Avatoru 98775 Polynésie française",405,1 sur 3,Avatoru  ,Polynésie française  ,Pacifique sud||Polynésie française||Tuamotu Archipelago||Rangiroa||Avatoru,4.5,,,Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Plage||Location de vélos||Babysitting||Navette aéroport||Wi-Fi||Piscine à débordement||Piscine extérieure||Piscine privée||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Boisson de bienvenue offerte||Menus spéciaux||Vin/champagne||Bar côté piscine||Canoë||Plongée||Salle de jeux||Plongée avec masque et tuba||Billard||Divertissements le soir||Pêche||Jeux de société/puzzles||Service d'autobus||Location de voitures||Salle de réception||Spa||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage des mains||Massage de la tête||Services de maquillage||Manucure||Massage||Massage du cou||Pédicure||Services d'épilation||Stockage des bagages||Change des devises||Boutique de cadeaux||Boutiques||Chaises longues/chaises de plage||Trousse de premiers soins||Service de blanchisserie||Rideaux occultants||Peignoirs||Climatisation||Plage privée||Bureau||Réfrigérateur||Télévision à écran plat||Douche à l'italienne||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Canapé||Téléphone||Penderie/armoire||Eau en bouteille||Fer à repasser||Bouilloire électrique||Produits de toilette gratuits||Sèche-cheveux||Vue sur l'océan||Chambres non-fumeurs||Suites||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Bar/lounge||Plage||Location de vélos||Babysitting||Navette aéroport||Wi-Fi||Piscine à débordement||Piscine extérieure||Piscine privée||Restaurant||Petit-déjeuner disponible||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Boisson de bienvenue offerte||Menus spéciaux||Vin/champagne||Bar côté piscine||Canoë||Plongée||Salle de jeux||Plongée avec masque et tuba||Billard||Divertissements le soir||Pêche||Jeux de société/puzzles||Service d'autobus||Location de voitures||Salle de réception||Spa||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage des mains||Massage de la tête||Services de maquillage||Manucure||Massage||Massage du cou||Pédicure||Services d'épilation||Stockage des bagages||Change des devises||Boutique de cadeaux||Boutiques||Chaises longues/chaises de plage||Trousse de premiers soins||Service de blanchisserie||Rideaux occultants||Peignoirs||Climatisation||Plage privée||Bureau||Réfrigérateur||Télévision à écran plat||Douche à l'italienne||Service de ménage||Balcon privé||Service en chambre||Coffre-fort||Canapé||Téléphone||Penderie/armoire||Eau en bouteille||Fer à repasser||Bouilloire électrique||Produits de toilette gratuits||Sèche-cheveux||Vue sur l'océan||Chambres non-fumeurs||Suites
Masseria Torre Coccaro,https://www.tripadvisor.fr/Hotel_Review-g1575039-d278339-Reviews-Masseria_Torre_Coccaro-Savelletri_Fasano_Province_of_Brindisi_Puglia.html,"Contrada Coccaro 8, 72015 Savelletri, Fasano Italie",556,3 sur 10,Savelletri  ,Italie  ,Europe||Italie||Pouilles||Province of Brindisi||Fasano||Savelletri,4.5,5.0,Joyau caché||Calme,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Parking||Wi-Fi||Jacuzzi||Serviettes de plage/piscine||Piscine extérieure||Piscine chauffée||Vestiaires du spa/centre de remise en forme||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Piscine avec bar intégré||Bar côté piscine||Clubs pour enfants||Équipements de jeux pour enfants en plein air||Navette aéroport||Service d'autobus||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage de la tête||Massage||Chapelle/lieu de culte||Concierge||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Climatisation||Plage privée||Balcon privé||Service en chambre||Coffre-fort||Minibar||Réfrigérateur||Télévision à écran plat||Suite nuptiale||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Babysitting||Activités pour les enfants (Enfants/Pour les familles)||Animaux domestiques autorisés (Chien/Animaux de compagnie)||Parking||Wi-Fi||Jacuzzi||Serviettes de plage/piscine||Piscine extérieure||Piscine chauffée||Vestiaires du spa/centre de remise en forme||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Petit-déjeuner dans la chambre||Piscine avec bar intégré||Bar côté piscine||Clubs pour enfants||Équipements de jeux pour enfants en plein air||Navette aéroport||Service d'autobus||Centre d'affaires avec accès Internet||Salles de conférence||Salle de réception||Salles de réunion||Spa||Massage en couple||Soins du visage||Massage des pieds||Massage corporel complet||Massage de la tête||Massage||Chapelle/lieu de culte||Concierge||Réception 24 heures sur 24||Nettoyage à sec||Service de blanchisserie||Service de repassage||Climatisation||Plage privée||Balcon privé||Service en chambre||Coffre-fort||Minibar||Réfrigérateur||Télévision à écran plat||Suite nuptiale||Chambres non-fumeurs||Suites||Chambres familiales
Banyan Tree Shanghai On The Bund,https://www.tripadvisor.fr/Hotel_Review-g308272-d3483610-Reviews-Banyan_Tree_Shanghai_On_The_Bund-Shanghai.html,"No.19 Gong Ping Road, Shanghai 200085 Chine",276,12 sur 4 900,Shanghai  ,Chine  ,Asie||Chine||Région de Shanghai||Shanghai,5.0,5.0,Rapport qualité/prix||Vue sur le fleuve,Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Navette aéroport||Centre d'affaires avec accès Internet||Salles de conférence||Wi-Fi||Jacuzzi||Piscine intérieure||Piscine chauffée||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Bar sur le toit||Salle de réception||Salles de réunion||Spa||Massage||Terrasse sur le toit||Concierge||Service de majordome||Portier||Nettoyage à sec||Service de blanchisserie||Service de repassage||Peignoirs||Climatisation||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales||Parking gratuit||Internet haut débit gratuit (Wi-Fi)||Piscine||Centre de remise en forme/Salle de sport||Petit-déjeuner inclus||Navette aéroport||Centre d'affaires avec accès Internet||Salles de conférence||Wi-Fi||Jacuzzi||Piscine intérieure||Piscine chauffée||Bar/lounge||Restaurant||Buffet de petit-déjeuner||Bar sur le toit||Salle de réception||Salles de réunion||Spa||Massage||Terrasse sur le toit||Concierge||Service de majordome||Portier||Nettoyage à sec||Service de blanchisserie||Service de repassage||Peignoirs||Climatisation||Service en chambre||Coffre-fort||Minibar||Télévision à écran plat||Chambres non-fumeurs||Suites||Chambres familiales
